Core: pcie_hip_avmm_mem_if_ddr3_emif_0_p0 - Instance: u0|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 850mV 85C Model)",0.369,0.375
"Bus Turnaround Time (Slow 850mV 85C Model)",2.867,--
"Core (Slow 850mV 85C Model)",0.253,0.122
"Core Recovery/Removal (Slow 850mV 85C Model)",1.24,0.306
"Postamble (Slow 850mV 85C Model)",0.346,0.346
"Read Capture (Slow 850mV 85C Model)",0.158,0.123
"Read Resync (Slow 850mV 85C Model)",1.979,15.314
"Write (Slow 850mV 85C Model)",0.153,0.153
"Write Leveling tDQSS (Slow 850mV 85C Model)",0.357,0.357
"Write Leveling tDSS/tDSH (Slow 850mV 85C Model)",0.409,0.409
"Address Command (Slow 850mV 0C Model)",0.422,0.381
"Bus Turnaround Time (Slow 850mV 0C Model)",2.921,--
"Core (Slow 850mV 0C Model)",0.265,0.235
"Core Recovery/Removal (Slow 850mV 0C Model)",1.517,0.307
"Postamble (Slow 850mV 0C Model)",0.288,0.288
"Read Capture (Slow 850mV 0C Model)",0.172,0.137
"Read Resync (Slow 850mV 0C Model)",2.034,15.363
"Write (Slow 850mV 0C Model)",0.196,0.196
"Write Leveling tDQSS (Slow 850mV 0C Model)",0.357,0.357
"Write Leveling tDSS/tDSH (Slow 850mV 0C Model)",0.409,0.409
"Address Command (Fast 850mV 85C Model)",0.415,0.413
"Bus Turnaround Time (Fast 850mV 85C Model)",3.162,--
"Core (Fast 850mV 85C Model)",0.128,0.08
"Core Recovery/Removal (Fast 850mV 85C Model)",2.325,0.16
"Postamble (Fast 850mV 85C Model)",0.378,0.378
"Read Capture (Fast 850mV 85C Model)",0.194,0.17
"Read Resync (Fast 850mV 85C Model)",2.395,15.769
"Write (Fast 850mV 85C Model)",0.206,0.206
"Write Leveling tDQSS (Fast 850mV 85C Model)",0.387,0.387
"Write Leveling tDSS/tDSH (Fast 850mV 85C Model)",0.439,0.439
"Address Command (Fast 850mV 0C Model)",0.461,0.391
"Bus Turnaround Time (Fast 850mV 0C Model)",3.173,--
"Core (Fast 850mV 0C Model)",0.129,0.108
"Core Recovery/Removal (Fast 850mV 0C Model)",2.378,0.17
"Postamble (Fast 850mV 0C Model)",0.342,0.342
"Read Capture (Fast 850mV 0C Model)",0.201,0.177
"Read Resync (Fast 850mV 0C Model)",2.393,15.76
"Write (Fast 850mV 0C Model)",0.219,0.219
"Write Leveling tDQSS (Fast 850mV 0C Model)",0.387,0.387
"Write Leveling tDSS/tDSH (Fast 850mV 0C Model)",0.439,0.439
